Ticker,Company,GICSSector,GICSSubIndustry
MMM,3M Company,Industrials,Industrial Conglomerates
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals
ABMD,ABIOMED Inc,Health Care,Health Care Equipment
ACN,Accenture plc,Information Technology,IT Consulting & Other Services
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
ADBE,Adobe Inc.,Information Technology,Application Software
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders
AFL,AFLAC Inc,Financials,Life & Health Insurance
A,Agilent Technologies Inc,Health Care,Health Care Equipment
APD,Air Products & Chemicals Inc,Materials,Industrial Gases
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure
ALK,Alaska Air Group Inc,Industrials,Airlines
ALB,Albemarle Corp,Materials,Specialty Chemicals
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology
ALGN,Align Technology,Health Care,Health Care Supplies
ALLE,Allegion,Industrials,Building Products
AGN,"Allergan, plc",Health Care,Pharmaceuticals
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services
LNT,Alliant Energy Corp,Utilities,Electric Utilities
ALL,Allstate Corp,Financials,Property & Casualty Insurance
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services
MO,Altria Group Inc,Consumer Staples,Tobacco
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail
AMCR,Amcor plc,Materials,Paper Packaging
AEE,Ameren Corp,Utilities,Multi-Utilities
AAL,American Airlines Group,Industrials,Airlines
AEP,American Electric Power,Utilities,Electric Utilities
AXP,American Express Co,Financials,Consumer Finance
AIG,American International Group,Financials,Property & Casualty Insurance
AMT,American Tower Corp.,Real Estate,Specialized REITs
AWK,American Water Works Company Inc,Utilities,Water Utilities
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment
AMGN,Amgen Inc.,Health Care,Biotechnology
APH,Amphenol Corp,Information Technology,Electronic Components
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors
ANSS,ANSYS,Information Technology,Application Software
ANTM,Anthem,Health Care,Managed Health Care
AON,Aon plc,Financials,Insurance Brokers
AOS,A.O. Smith Corp,Industrials,Building Products
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production
AIV,Apartment Investment & Management,Real Estate,Residential REITs
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products
ANET,Arista Networks,Information Technology,Communications Equipment
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AIZ,Assurant,Financials,Multi-line Insurance
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services
ATO,Atmos Energy,Utilities,Gas Utilities
ADSK,Autodesk Inc.,Information Technology,Application Software
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs
AVY,Avery Dennison Corp,Materials,Paper Packaging
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services
BLL,Ball Corp,Materials,Metal & Glass Containers
BAC,Bank of America Corp,Financials,Diversified Banks
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks
BAX,Baxter International Inc.,Health Care,Health Care Equipment
BDX,Becton Dickinson,Health Care,Health Care Equipment
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail
BIIB,Biogen Inc.,Health Care,Biotechnology
BLK,BlackRock,Financials,Asset Management & Custody Banks
BA,Boeing Company,Industrials,Aerospace & Defense
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
BXP,Boston Properties,Real Estate,Office REITs
BSX,Boston Scientific,Health Care,Health Care Equipment
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors
AVGO,Broadcom Inc.,Information Technology,Semiconductors
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services
